CUS_NO ; BRANCH ; BIRTH
8894;2003;590303    
8895;2022;520701    
8897;2013;210209    
8898;1001;640324    
8900;2010;461003    
8901;2025;970517    
8902;2015;470514    
8904;1012;290326    
8905;2003;260601    
8907;1006;510311    
8908;2009;420930    
8910;1020;400501    
8911;1029;531224    
8912;2022;620528    
8913;1001;490914    
8916;1027;450722    
8917;2011;650810    
8918;1022;210728    
8919;2001;610317    
8920;1014;240206    
8921;2010;241028    
8923;2017;500120    
8924;2004;330402    
8925;1011;440226    
8926;2015;590512    
8927;1020;520601    
8928;2013;620722    
8929;2010;510601    
8930;2002;280901    
8931;1013;270702    
8932;2014;590701    
8933;2025;520223    
8934;1029;351212    
8935;1001;370701    
8937;1010;800629    
8938;2002;330211    
8939;1006;650429    
8942;2002;440501    
8943;1030;560628    
8945;1009;240715    
8947;2011;620631    
8948;2017;460801    
8949;1030;420605    
8950;2021;270201    
8951;2003;300101    
8952;2021;380901    
8956;1001;420908    
8957;2012;260810    
8958;2003;280615    
8959;1010;670131    
8960;2009;370124    
8962;1015;500308    
8963;2022;510312    
8966;1003;131003    
8967;1030;330224    
8969;1030;590631    
8971;2025;640615    
8972;1015;311215    
8973;2006;321004    
8974;1011;610131    
8977;1027;581119    
8978;2003;120418    
8979;2017;290721    
8980;1007;540710    
8981;1011;560630    
8982;2013;491214    
8983;2013;490623    
8984;2021;380701    
8986;2020;180325    
8987;1022;580612    
8989;1005;600601    
8990;1011;420227    
8993;1020;380821    
8994;2006;200718    
8995;2003;440101    
8996;1008;340913    
8997;1030;330110    
8998;2025;400410    
9000;2020;580608    
9001;2020;361102    
9002;2020;650104    
9003;1014;620325    
9007;1009;240725    
9009;2013;650124    
9010;1011;340301    
9012;2009;380102    
9014;1008;570617    
9016;2012;610629    
9018;2002;560614    
9019;1001;550101    
9020;1022;221126    
9021;2018;230102    
9023;2002;350112    
9025;1022;431210    
9026;1001;110201    
9027;2002;560202    
9028;2012;320105    
9029;1022;481020    
9030;1020;520221    
9031;1029;350102    
9032;2013;550319    
9033;1007;590313    
9034;2015;580515    
9035;2002;380505    
9036;1009;320701    
9037;2016;440101    
9039;1001;470925    
9041;2013;260808    
9042;2021;430213    
9043;2003;680417    
9044;2020;610304    
9045;1030;551114    
9046;2015;590211    
9048;1021;640509    
9049;1014;580317    
9051;2010;440111    
9053;1006;270601    
9054;2015;450106    
9055;2014;310427    
9056;2009;460629    
9058;1026;360420    
9059;2002;560222    
9060;1010;380202    
9061;1026;550626    
9062;1008;620209    
9063;2014;540221    
9064;1008;630104    
9066;1011;570205    
9067;2001;660307    
9068;1008;320718    
9069;2006;450320    
9070;1001;550716    
9073;1029;420607    
9075;1022;500601    
9077;1006;560701    
9078;1011;231203    
9079;2002;510121    
9080;1027;400816    
9081;2021;470601    
9083;1009;360117    
9084;1021;351201    
9085;2006;401004    
9088;2010;110101    
9089;2015;480101    
9090;1006;340703    
9091;2021;560625    
9093;2021;521215    
9094;1009;421019    
9095;1016;640413    
9096;2021;450401    
9097;1001;330501    
9098;1010;611005    
9100;2014;570110    
9101;2006;460317    
9102;2015;420505    
9104;1001;441104    
9106;1015;330601    
9111;1008;320409    
9112;2024;450215    
9114;1020;510622    
9115;1001;451019    
9116;2001;591107    
9117;2011;550602    
9118;2024;400701    
9119;1001;450123    
9120;1014;420822    
9121;2003;490301    
9122;2010;390802    
9123;1020;640630    
9124;1010;621122    
9125;2002;240218    
9126;2001;220510    
9127;2002;420115    
9128;1027;220103    
9130;1022;461015    
9133;1022;370102    
9134;1013;481016    
9135;1029;581010    
9136;2006;441201    
9137;1013;390101    
9138;2014;480315    
9139;2020;410105    
9140;2018;340701    
9141;2003;550105    
9142;1010;221005    
9143;2013;540505    
9144;1027;330401    
9145;2020;520625    
9146;2003;410402    
9147;2012;781218    
9149;2017;580627    
9150;1006;370701    
9151;1013;440601    
9152;2004;330315    
9153;1022;400615    
9154;2009;431112    
9155;2001;610407    
9157;2020;610624    
9159;1015;600630    
9160;1008;110209    
9161;1014;550530    
9162;1022;090921    
9163;1030;490505    
9165;2013;601225    
9167;1022;360803    
9168;2016;600420    
9169;2025;320810    
9170;2006;421020    
9171;1022;540630    
9172;2003;361005    
9173;1005;820804    
9174;2017;420101    
9175;1021;470420    
9178;1027;351115    
9179;1026;480211    
9180;1029;530625    
9181;1001;350101    
9182;2003;580631    
9183;1020;590728    
9184;1014;460105    
9185;1021;481212    
9186;1021;560611    
9187;1006;241203    
9188;2013;401202    
9190;2012;450315    
9191;2009;310215    
9192;2003;700606    
9193;1011;460601    
9194;1009;340216    
9195;2024;400701    
9196;1020;610105    
9197;1013;480814    
9198;2007;230202    
9199;2010;360506    
9200;1004;270102    
9201;1001;470311    
9202;2016;500303    
9208;2007;420426    
9209;1027;570520    
9210;1001;390715    
9212;1030;410914    
9213;1001;610413    
9214;1006;420611    
9215;1005;520910    
9216;2003;390326    
9217;2026;460707    
9218;1007;480516    
9219;2019;590310    
9220;1022;320503    
9221;2012;260704    
9222;1029;410908    
9224;1001;410701    
9226;2003;541101    
9228;1021;420204    
9229;2018;370710    
9230;2012;130501    
9233;2018;490101    
9234;2014;580703    
9236;1001;510120    
9238;1027;690518    
9239;2009;560428    
9243;1016;670501    
9245;2022;191107    
9247;1020;440515    
9249;2014;520618    
9251;2006;350312    
9253;2006;540225    
9254;1022;500101    
9255;1029;441014    
9256;1009;620617    
9257;2011;390601    
9258;1011;350405    
9259;2013;290902    
9261;1007;211014    
9262;1021;460424    
9263;1021;420303    
9264;1009;360620    
9266;1013;401027    
9267;2016;500501    
9268;2014;360207    
9269;2013;450301    
9270;2003;580514    
9271;2022;130710    
9272;1011;081004    
9274;2004;440601    
9276;2015;511130    
9277;1011;350506    
9278;2007;490131    
9279;2022;120301    
9280;2019;390626    
9281;1006;260515    
9282;1022;450810    
9283;1021;390306    
9284;2020;520601    
9285;1006;600920    
9286;1022;391201    
9287;2019;380717    
9292;1022;561201    
9293;2020;480827    
9298;1015;680415    
9299;1004;350611    
9300;1013;470601    
9302;2002;270703    
9303;2012;480901    
9304;1006;330612    
9305;1026;521101    
9307;2017;451014    
9309;1001;460111    
9310;1012;600110    
9311;1022;470601    
9312;1015;350420    
9315;1006;360631    
9316;1007;580301    
9317;2006;290115    
9318;1004;490101    
9319;1016;570317    
9320;1021;301003    
9321;2010;470625    
9322;1004;260604    
9323;2024;590414    
9324;2002;480619    
9325;1003;221121    
9328;2014;501201    
9329;1020;431101    
9331;1027;540218    
9332;1021;580320    
9333;2003;100618    
9334;2011;431201    
9335;1003;570507    
9336;2017;490503    
9337;1011;170105    
9339;1026;510802    
9340;1014;440315    
9342;1001;690524    
9343;1006;320427    
9344;2007;380602    
9345;1020;330310    
9346;1020;350710    
9347;1006;430401    
9348;1008;450516    
9350;2002;470122    
9352;2003;550305    
9354;2006;340806    
9357;1027;320404    
9360;2019;550401    
9361;2010;630428    
9362;2014;450620    
9363;1007;480915    
9364;1001;261125    
9365;1015;700115    
9366;2014;350101    
9368;1010;450626    
9369;1013;600217    
9370;2020;320419    
9371;2001;370308    
9372;2026;331102    
9374;1006;500307    
9376;2017;490117    
9377;1008;250115    
9378;2022;440507    
9379;2014;350201    
9382;1001;211206    
9383;2022;520323    
9384;2024;371101    
9385;1026;251107    
9386;1009;330703    
9387;1001;370720    
9388;2021;090405    
9390;1007;450321    
9391;1029;590326    
9393;1027;540514    
9394;2002;610626    
9395;1015;650630    
9396;2019;441123    
9397;2019;420102    
9398;2003;460320    
9399;2001;370528    
9400;2026;140631    
9401;1021;430625    
9403;2006;160808    
9404;2002;500109    
9405;1027;290328    
9406;1027;290101    
9407;1001;810627    
9408;2002;340520    
9409;1004;560630    
9411;2002;290219    
9412;1027;490603    
9414;2011;110911    
9415;2024;540201    
9417;2006;241102    
9418;1030;411016    
9419;2004;640608    
9420;1009;511205    
9421;1010;371222    
9422;2014;310112    
9423;2002;490924    
9424;2002;480630    
9426;2016;580625    
9428;2004;470110    
9429;1006;440408    
9430;2022;440701    
9434;1020;460601    
9436;1030;490322    
9438;2017;451122    
9442;2004;570626    
9443;1001;350520    
9446;2022;380208    
9447;2024;490101    
9448;2014;710223    
9450;1006;420305    
9451;2024;020620    
9452;2022;280110    
9454;1022;450916    
9455;1022;380302    
9456;1006;440309    
9457;2002;360101    
9458;2006;590911    
9459;1006;571104    
9460;2014;550518    
9461;1029;620911    
9462;2013;641120    
9463;1009;390113    
9465;2002;330412    
9466;2002;381001    
9467;2013;420605    
9468;2006;540106    
9469;2016;510625    
9470;1026;231030    
9471;1022;280801    
9472;1030;310416    
9474;2003;540303    
9475;1029;291009    
9476;1011;510531    
9477;1029;580706    
9478;2001;560615    
9480;1029;490530    
9481;2003;430501    
9483;2021;260101    
9485;1029;390102    
9486;1029;500612    
9489;1004;580316    
9490;1012;150701    
9491;2018;821213    
9492;1027;540914    
9493;2003;400301    
9494;1022;400315    
9496;1009;550629    
9499;2013;570622    
9500;1004;480802    
9501;1022;480508    
9502;1022;431224    
9504;2006;670916    
9505;1020;710711    
9507;1001;190613    
9509;2022;450305    
9510;1010;340617    
9511;1029;620631    
9512;1022;560310    
9513;1022;571006    
9516;1001;520601    
9518;2021;200303    
9519;2018;740409    
9520;2026;081201    
9521;1022;610209    
9522;1008;410601    
9523;2006;630630    
9524;1007;470212    
9525;2004;270718    
9526;2019;370209    
9527;1006;500927    
9528;1006;471227    
9529;2021;630419    
9530;1029;150518    
9531;2015;110905    
9532;1022;451015    
9533;2001;260120    
9535;2022;500514    
9536;1003;570630    
9537;2003;250115    
9541;2017;380106    
9542;2014;250301    
9543;2003;400401    
9544;2013;580214    
9546;2003;371101    
9547;2024;100403    
9548;1022;500306    
9551;2002;541101    
9552;2021;541229    
9553;2018;550630    
9554;1010;290418    
9555;2002;290820    
9556;1013;450527    
9557;2012;520701    
9558;1001;530423    
9559;1008;300231    
9560;1021;590630    
9561;1015;620919    
9562;2022;440219    
9563;1009;150320    
9564;1027;590515    
9565;2004;540214    
9566;1010;291214    
9567;2018;501017    
9568;1009;580601    
9569;1027;470615    
9571;2013;341120    
9572;2026;470601    
9574;1029;571213    
9575;1026;500519    
9576;1027;351102    
9577;1021;390801    
9578;1022;520405    
9579;2018;530313    
9580;2019;450212    
9581;2009;640211    
9582;1027;601202    
9583;1026;261003    
9584;2022;370601    
9587;1021;220802    
9588;2014;440104    
9589;2020;630628    
9593;2025;530609    
9595;1001;120617    
9596;1004;560617    
9597;1026;301027    
9598;2002;530630    
9600;2002;381218    
9601;2012;390601    
9602;1011;350401    
9603;2006;370309    
9605;1020;600520    
9607;1007;521210    
9609;2006;591228    
9610;2013;340507    
9611;2010;500712    
9612;1001;600816    
9613;1029;551229    
9614;1014;260603    
9616;2022;381001    
9617;2003;390601    
9618;1030;521002    
9620;1009;540122    
9621;2020;630303    
9622;2025;511106    
9623;2021;560101    
9625;1001;400102    
9629;1019;591205    
9631;1001;610631    
9633;2018;440325    
9634;2012;700411    
9636;1022;360323    
9637;2009;590302    
9638;1015;520821    
9640;2002;520101    
9642;1007;440106    
9644;1014;300723    
9645;1001;510814    
9646;2021;760518    
9647;2003;611016    
9648;2013;500101    
9649;2003;450409    
9650;2022;250206    
9653;1001;490217    
9654;2002;580201    
9655;2026;491126    
9656;2011;390711    
9657;1029;470830    
9658;2026;470602    
9659;1026;190125    
9660;2013;590605    
9661;2019;600628    
9662;1004;520219    
9663;2011;320202    
9664;2001;330701    
9665;2003;440823    
9666;1006;141008    
9667;2020;410916    
9669;2006;400905    
9670;1013;480801    
9671;2025;420707    
9672;2010;630218    
9673;2006;340701    
9674;2006;381109    
9675;2010;651217    
9676;1008;620501    
9677;2022;510814    
9678;2012;530615    
9680;1001;570426    
9681;1022;471211    
9682;2007;190203    
9686;1026;600512    
9688;1009;540917    
9689;1029;281215    
9690;2003;441003    
9692;2015;430202    
9693;1006;510624    
9694;2014;510101    
9695;1026;491210    
9696;1022;531120    
9697;2025;530628    
9698;2001;620601    
9699;1001;390301    
9700;2025;510101    
9701;1029;520827    
9702;1020;280113    
9703;2009;780909    
9705;1021;510421    
9706;1006;580203    
9707;2014;520101    
9708;1009;600412    
9709;2015;540216    
9710;1015;460511    
9711;2002;500214    
9713;1001;600515    
9714;2019;570104    
9717;1007;320610    
9718;1009;460602    
9719;1016;471008    
9720;2015;461128    
9721;1022;561227    
9722;1009;410206    
9723;2003;500111    
9724;2014;580701    
9726;1029;600607    
9728;1004;810716    
9729;1011;550230    
9730;2013;250129    
9732;1004;520524    
9733;1007;430626    
9736;1010;301123    
9737;2022;610802    
9738;1008;500129    
9739;2019;450224    
9740;1022;530311    
9741;2016;440819    
9742;2015;420210    
9743;1007;450131    
9744;1026;260723    
9745;2007;330401    
9746;2003;460501    
9747;1022;330204    
9749;1029;630101    
9751;2003;370426    
9756;2006;250202    
9757;2015;430603    
9758;1001;420811    
9759;1022;430705    
9760;2003;600911    
9761;1027;250925    
9762;2026;330302    
9763;1015;230914    
9764;1021;470607    
9765;1008;390421    
9766;1027;460107    
9767;2020;300302    
9768;1004;510301    
9769;1006;310729    
9770;2022;370111    
9771;1016;550713    
9773;2003;460101    
9774;1012;540503    
9775;1026;510617    
9776;1011;570614    
9777;1030;510504    
9779;1026;361211    
9780;1001;430929    
9781;1011;711129    
9782;2006;590620    
9783;1019;470706    
9784;2017;240408    
9785;1001;470814    
9788;1014;420601    
9789;1004;560603    
9791;2009;600121    
9792;1001;520302    
9793;1014;590625    
9794;1007;440603    
9795;2002;470601    
9796;1020;530821    
9797;1011;570920    
9798;1009;630821    
9799;2012;510323    
9800;1010;320116    
9801;1026;630630    
9802;1027;300611    
9803;1029;490320    
9804;2006;550824    
9805;2010;550701    
9806;1027;720821    
9807;1022;360401    
9808;1014;350919    
9809;2025;370301    
9810;2015;500214    
9811;2016;420109    
9812;2021;580405    
9813;2011;150524    
9816;1022;591115    
9817;2018;470605    
9818;2019;521210    
9819;2020;520631    
9820;1009;650630    
9822;2003;270421    
9823;1011;310226    
9824;2016;540511    
9826;1009;311109    
9827;2013;210128    
9828;1027;580631    
9829;2006;590315    
9831;2025;450405    
9832;2013;290605    
9833;2015;440415    
9834;2014;510217    
9835;2017;480709    
9836;2006;590102    
9838;1006;620904    
9839;1012;450205    
9841;1014;540209    
9843;1010;580524    
9844;1025;260709    
9847;2008;550106    
9849;1006;470627    
9850;1001;330201    
9851;2003;430302    
9852;2001;311027    
9855;1027;270221    
9856;1015;340122    
9859;2017;460615    
9860;1001;460128    
9862;2018;590601    
9863;1029;370111    
9864;2012;450320    
9865;2001;590901    
9867;1019;520628    
9868;1019;530906    
9869;2025;660118    
9870;1009;640929    
9871;1013;461111    
9873;1029;300409    
9874;1025;210921    
9875;2001;570526    
9876;2025;560501    
9877;1029;320220    
9880;2019;470101    
9881;2025;611205    
9882;1007;370102    
9884;2007;350310    
9885;1009;420601    
9886;2007;330605    
9887;1009;300118    
9891;1025;410114    
9893;1001;550112    
9896;1025;471008    
9898;2020;510625    
9899;2017;351020    
9900;2012;470620    
9901;1008;201001    
9903;1022;431127    
9904;1014;380408    
9906;1019;620119    
9907;1001;270603    
9909;2002;570224    
9911;2006;650313    
9912;1001;310701    
9913;2024;500121    
9914;2011;620114    
9915;2007;490601    
9916;1030;500620    
9917;1027;381024    
9918;2006;560401    
9919;1009;090809    
9920;2003;280402    
9921;1009;390104    
9922;2022;510605    
9923;2006;470823    
9929;1001;590629    
9930;1006;410605    
9933;1027;480631    
9934;1014;480328    
9935;2024;390303    
9936;1020;480321    
9937;1007;600202    
9938;2007;280927    
9939;1001;361204    
9940;2019;400302    
9941;2010;381104    
9942;2001;600610    
9943;2025;510628    
9944;1030;250820    
9945;1001;471125    
9946;1030;140702    
9948;1021;140204    
9951;1001;480630    
9954;1013;380122    
9955;1005;830212    
9958;1025;480106    
9959;1001;331123    
9960;2012;290509    
9961;1020;230924    
9962;1022;380102    
9963;2007;490630    
9964;2021;350515    
9965;1011;370615    
9966;1029;560512    
9967;2024;490310    
9968;1013;350116    
9969;1025;630427    
9970;1011;500914    
9971;2003;480910    
9972;2006;601216    
9973;1014;291202    
9974;2022;461003    
9975;1007;581121    
9976;1006;471004    
9978;2002;340610    
9982;1013;360201    
9984;2022;400101    
9986;1029;200414    
9987;2011;380115    
9991;1019;470903    
9992;1022;340504    
9993;1020;360329    
9996;2004;540530    
9997;1026;830605    
9999;2022;550302    
10000;2021;450201   
10002;2001;400509   
10003;1001;560724   
10005;1025;300424   
10006;1010;361227   
10007;2002;520420   
10008;1008;730819   
10009;1001;310605   
10010;2025;560101   
10012;1008;230314   
10013;1006;390205   
10014;1001;391115   
10015;2011;580627   
10016;2007;450401   
10017;1006;471210   
10018;1009;480326   
10019;1009;641004   
10021;1027;540401   
10022;1006;700530   
10023;1016;550721   
10024;1008;600616   
10025;1006;500505   
10026;1029;340823   
10028;2001;341101   
10029;2006;490411   
10030;2019;460528   
10033;1010;190402   
10034;2017;231116   
10035;1012;401005   
10038;1027;410501   
10039;1029;380107   
10042;2009;640613   
10043;1030;330609   
10044;1011;320819   
10045;2007;451002   
10046;2015;490526   
10047;2017;510623   
10048;1027;430302   
10049;2003;550301   
10051;2024;670101   
10052;2015;510612   
10053;2010;590228   
10055;1025;230404   
10056;1003;561019   
10058;1029;630905   
10059;1030;540516   
10060;1009;260115   
10061;1008;300309   
10063;2004;260101   
10064;2022;281005   
10065;2019;550620   
10066;2019;530101   
10067;1025;490631   
10068;2028;580618   
10069;1022;211114   
10070;1014;351115   
10072;1007;460103   
10075;1030;350822   
10076;1011;581120   
10078;1022;170620   
10079;2004;630318   
10081;2010;571111   
10082;2015;430607   
10083;1008;450201   
10085;1016;230215   
10086;1008;391001   
10087;2002;360703   
10088;2013;400912   
10089;1007;480405   
10092;2009;360905   
10093;1022;620405   
10095;2009;220101   
10096;2001;340101   
10097;1008;480518   
10098;2014;561213   
10099;2028;360309   
10101;2025;331203   
10102;2026;540601   
10103;2024;500628   
10104;1030;330102   
10105;2017;480301   
10106;1013;330215   
10107;2013;390602   
10108;1025;500910   
10111;1020;600311   
10112;1020;450926   
10113;1009;300129   
10114;1025;590514   
10115;2010;571222   
10117;2003;351201   
10118;1029;571001   
10119;2006;501228   
10120;1020;470110   
10122;1029;350306   
10123;2007;560530   
10124;2017;510302   
10125;2022;480405   
10126;1032;470625   
10127;2010;740101   
10128;2004;251007   
10129;1004;680616   
10130;2011;390702   
10131;1025;590126   
10138;2013;230710   
10139;1022;301010   
10140;1001;480515   
10141;2024;300411   
10142;2002;480727   
10143;1026;350921   
10144;2007;540317   
10145;2028;571103   
10146;1020;230322   
10147;1009;810309   
10148;1014;340710   
10149;2020;530630   
10150;2011;240910   
10151;1020;530528   
10152;2028;360308   
10153;2014;410101   
10154;2028;450701   
10155;1003;730818   
10156;2002;330101   
10158;2010;520412   
10159;2017;321220   
10160;2024;401113   
10161;1034;500515   
10162;1005;600124   
10163;2004;130701   
10164;2008;510210   
10165;2021;520701   
10168;2018;490310   
10169;1014;350623   
10170;2022;340105   
10172;2012;370105   
10173;2025;430203   
10174;2013;600722   
10175;1009;600107   
10176;2018;491001   
10177;2020;440115   
10181;2014;360110   
10182;1014;600216   
10185;2015;570425   
10186;1027;311115   
10187;1020;590728   
10193;1032;560301   
10194;2001;380316   
10195;2003;221009   
10196;1029;530602   
10197;2024;610620   
10198;2003;020128   
10200;1029;491118   
10201;2012;180902   
10203;2018;140606   
10204;2017;401107   
10205;2019;441224   
10207;2014;360601   
10208;2025;510623   
10209;1022;210808   
10210;1025;371101   
10211;2015;250408   
10212;1022;580627   
10213;1006;410408   
10214;1029;340209   
10215;2011;290814   
10216;1034;460202   
10217;2013;491101   
10218;2007;621105   
10219;1019;230906   
10220;1025;531018   
10222;1025;241001   
10223;2015;240601   
10225;2028;310430   
10226;2017;390901   
10227;2028;631221   
10228;2002;640526   
10229;1010;510430   
10231;2006;350620   
10234;1011;531113   
10236;2020;450822   
10237;2014;530702   
10238;2022;410102   
10242;1001;581121   
10246;1025;491008   
10248;1009;320625   
10249;1014;491026   
10252;1031;441001   
10253;1031;430327   
10255;1004;390703   
10257;1029;550410   
10259;1007;491130   
10261;1027;600114   
10262;2002;410301   
10266;2018;480601   
10267;1025;460526   
10268;2015;490630   
10269;2024;550129   
10272;1011;340711   
10273;1029;270424   
10274;2028;310123   
10275;2026;640121   
10276;1015;780215   
10277;2006;480910   
10280;1001;640627   
10281;2022;510628   
10283;2019;340405   
10284;2012;630628   
10285;1011;430601   
10286;2023;450217   
10287;2025;550103   
10289;2025;480630   
10290;2014;560916   
10292;2025;240625   
10294;2028;590119   
10295;1030;560320   
10296;2020;491015   
10297;2013;300431   
10298;2019;491020   
10299;1025;550602   
10300;2028;520604   
10301;2015;340207   
10303;2028;430212   
10304;2009;430402   
10305;2012;420920   
10306;1022;571209   
10307;2021;711125   
10308;1001;560620   
10309;2010;450201   
10310;1022;380703   
10311;1025;460810   
10313;1030;490429   
10314;1011;440321   
10315;2023;390426   
10317;2015;550615   
10318;1004;591130   
10319;2028;580606   
10320;2011;550701   
10321;2002;241221   
10324;1030;401102   
10325;2023;260906   
10326;1020;411111   
10328;2001;600321   
10331;1007;400909   
10332;1022;540212   
10333;1020;420211   
10334;1021;370108   
10335;2009;640627   
10340;1031;171124   
10341;2006;270306   
10342;2006;361018   
10343;1016;300112   
10344;1025;561110   
10345;1026;380601   
10346;2024;430229   
10347;2018;470201   
10348;1008;420111   
10349;1015;550630   
10350;1030;470508   
10352;2008;500101   
10353;1016;550614   
10354;2017;571002   
10355;2011;170401   
10356;2002;600403   
10357;2014;600426   
10358;2002;541201   
10360;1006;430801   
10361;2024;460401   
10362;2007;390601   
10363;1006;220601   
10364;1031;100610   
10365;2002;421012   
10366;2012;360103   
10368;1022;411020   
10370;2026;530307   
10371;1003;270212   
10373;2006;380418   
10374;2024;551015   
10375;2007;150406   
10376;1006;320710   
10377;1029;391101   
10378;2017;590625   
10379;2023;300917   
10382;1025;490629   
10383;2025;390403   
10384;2014;310615   
10385;1020;621110   
10386;1001;190702   
10387;2009;391220   
10390;1007;560530   
10391;2006;500517   
10393;1034;210605   
10394;1007;550922   
10395;2006;291005   
10396;1007;360928   
10399;1013;340814   
10400;1008;390402   
10402;1021;520605   
10404;1026;351010   
10405;2020;260828   
10406;1031;370609   
10407;2012;401105   
10408;1027;600631   
10409;1022;310825   
10410;2011;370814   
10412;2003;520705   
10414;1025;550326   
10415;2028;540618   
10416;2028;540415   
10418;1022;320202   
10419;2013;321018   
10420;1008;460201   
10421;2014;620631   
10422;1030;460408   
10423;2028;310210   
10424;2014;440601   
10425;2010;481117   
10426;1030;371019   
10427;2004;490529   
10429;1001;090604   
10430;2014;390307   
10432;2028;561026   
10433;1001;310605   
10434;2007;420701   
10435;2028;551016   
10436;2019;370101   
10438;1022;400504   
10440;2015;441204   
10442;1026;510505   
10443;2003;580201   
10444;1031;320617   
10446;1009;621114   
10447;2003;350701   
10448;2024;410106   
10449;1001;650618   
10450;1007;360212   
10451;1032;440609   
10452;1014;411112   
10454;1013;470601   
10455;1020;480303   
10456;2004;500412   
10458;2004;391101   
10459;1030;550618   
10461;1001;540630   
10462;2015;450503   
10463;1008;680509   
10464;2006;200920   
10465;2011;620326   
10466;1001;650630   
10468;1005;460905   
10469;2001;601010   
10470;2001;460101   
10471;1001;580628   
10472;2006;430602   
10476;1005;600422   
10478;1025;530618   
10479;1029;440230   
10480;1031;560625   
10481;1007;320912   
10482;1016;461001   
10483;1025;440601   
10484;2003;460710   
10485;2017;340121   
10486;1001;200216   
10487;2001;310119   
10488;2022;290509   
10489;1025;520901   
10490;2006;300904   
10491;1011;240307   
10492;1025;140701   
10493;2006;601012   
10494;2024;250303   
10495;1026;600501   
10496;2004;531212   
10497;2028;310104   
10498;2004;470813   
10499;2023;570229   
10500;1016;330302   
10501;2028;130527   
10502;1029;441005   
10503;1016;390202   
10506;2006;590507   
10507;2028;420101   
10509;2007;410615   
10511;1027;371117   
10514;2006;480320   
10515;2013;430905   
10516;1029;310612   
10517;2004;411110   
10519;2028;470920   
10520;1007;380910   
10522;2011;340212   
10523;1031;400316   
10524;2023;191101   
10525;1029;510701   
10526;2024;390401   
10527;2009;450601   
10528;1031;250702   
10529;2021;640521   
10533;1001;420607   
10534;1027;311130   
10535;1029;470615   
10536;1031;211110   
10537;2010;430604   
10538;1008;341220   
10539;1006;260208   
10544;2017;391210   
10545;1007;161101   
10546;1020;380115   
10548;1001;350310   
10549;2002;600101   
10550;1031;600612   
10551;1001;710716   
10552;1031;360404   
10553;1011;401101   
10556;1029;320903   
10557;2023;570525   
10558;2023;340721   
10560;2013;451225   
10563;2007;450601   
10564;1022;570404   
10565;1006;310925   
10566;2018;430619   
10568;1022;380507   
10572;1014;510220   
10573;2028;380114   
10574;2003;530821   
10576;1014;700424   
10577;2017;330615   
10578;1001;600619   
10579;1019;260115   
10580;1001;360518   
10581;1026;460629   
10582;1025;640108   
10583;1025;230910   
10584;1010;131001   
10585;1022;401126   
10586;2028;590502   
10588;1015;540101   
10589;2002;470604   
10590;1026;540117   
10591;1031;390117   
10592;1006;430327   
10596;1001;150309   
10597;1006;311110   
10598;1007;500104   
10599;1014;590312   
10600;2009;520610   
10601;2012;481106   
10602;1001;540502   
10603;2006;531128   
10604;2014;441117   
10606;1027;390104   
10607;1004;450603   
10608;1008;600406   
10609;1016;551027   
10611;1016;300101   
10613;1025;550625   
10614;2025;480529   
10617;2021;530631   
10619;2007;400102   
10620;2007;381125   
10622;1022;300204   
10623;2023;200124   
10624;1031;470620   
10625;1031;240202   
10626;1029;510511   
10629;2024;550201   
10632;1012;521125   
10633;2013;400102   
10634;1001;460125   
10635;1029;470404   
10637;1001;400715   
10638;1006;650613   
10639;1026;291114   
10640;2021;670124   
10641;2028;251129   
10642;2003;620703   
10643;2022;540320   
10644;1009;210915   
10646;2020;250102   
10647;1026;541210   
10648;2012;571201   
10650;1014;490520   
10652;1008;430117   
10653;1030;620926   
10654;1033;300601   
10655;1009;590622   
10656;2010;600630   
10657;2002;200112   
10658;2017;530804   
10659;1009;400323   
10660;2007;580630   
10662;2015;511107   
10663;2022;490103   
10667;2011;450914   
10668;1009;700231   
10669;1027;201223   
10670;1006;090715   
10673;1029;280105   
10674;1026;470610   
10675;1001;510631   
10676;1014;340606   
10677;1029;540522   
10678;2017;500715   
10679;1025;540627   
10680;1005;500103   
10681;2028;390201   
10682;1004;350601   
10683;1013;750521   
10684;1001;480419   
10685;1011;630405   
10686;2009;820527   
10688;1033;341027   
10691;1007;520101   
10692;2001;231021   
10693;1030;230415   
10694;1007;420920   
10696;2021;380215   
10698;1006;540405   
10699;2020;291121   
10700;2016;440701   
10701;2008;440101   
10702;2029;450201   
10704;1031;480625   
10706;1014;460611   
10707;1014;541109   
10708;1031;380101   
10709;1022;300502   
10710;2028;490601   
10711;2014;090706   
10712;2004;790919   
10713;1009;380617   
10714;2017;410101   
10716;1033;201022   
10717;1001;240225   
10719;2001;510309   
10720;2014;311220   
10721;1001;610211   
10722;1031;580520   
10723;2013;450620   
10724;1030;480630   
10725;1007;611020   
10726;1010;600822   
10727;1029;440426   
10728;2015;670308   
10729;1020;471106   
10731;2017;270825   
10732;2007;571118   
10733;1029;340812   
10734;2022;350420   
10735;1014;520430   
10737;2024;660606   
10738;1029;281115   
10740;2022;271110   
10741;1009;520628   
10742;2013;341110   
10743;1008;350315   
10744;2003;121019   
10745;1031;420102   
10746;1006;520327   
10747;1025;281211   
10748;2003;500615   
10749;2004;710112   
10750;1031;290603   
10752;1001;180710   
10754;1027;490323   
10756;1031;560129   
10760;1015;481001   
10761;2025;370915   
10762;2004;141107   
10763;1031;350907   
10764;1025;470101   
10765;2002;540102   
